person,personLabel,work,workLabel
http://www.wikidata.org/entity/Q2577811,Prowl,http://www.wikidata.org/entity/Q250378,The Transformers: The Movie
http://www.wikidata.org/entity/Q2577811,Prowl,http://www.wikidata.org/entity/Q602883,The Transformers
http://www.wikidata.org/entity/Q2577811,Prowl,http://www.wikidata.org/entity/Q1323565,Transformers
http://www.wikidata.org/entity/Q2577811,Prowl,http://www.wikidata.org/entity/Q2407494,Transformers: The Headmasters
http://www.wikidata.org/entity/Q2582492,Smokescreen,http://www.wikidata.org/entity/Q602883,The Transformers
http://www.wikidata.org/entity/Q2582492,Smokescreen,http://www.wikidata.org/entity/Q1323565,Transformers
http://www.wikidata.org/entity/Q2583698,Omega Supreme,http://www.wikidata.org/entity/Q602883,The Transformers
http://www.wikidata.org/entity/Q2583698,Omega Supreme,http://www.wikidata.org/entity/Q1323565,Transformers
http://www.wikidata.org/entity/Q2583716,Scrapper,http://www.wikidata.org/entity/Q250378,The Transformers: The Movie
http://www.wikidata.org/entity/Q2583716,Scrapper,http://www.wikidata.org/entity/Q602883,The Transformers
http://www.wikidata.org/entity/Q2583716,Scrapper,http://www.wikidata.org/entity/Q1323565,Transformers
http://www.wikidata.org/entity/Q2584116,Metroplex,http://www.wikidata.org/entity/Q250378,The Transformers: The Movie
http://www.wikidata.org/entity/Q2584116,Metroplex,http://www.wikidata.org/entity/Q602883,The Transformers
http://www.wikidata.org/entity/Q2584116,Metroplex,http://www.wikidata.org/entity/Q1323565,Transformers
http://www.wikidata.org/entity/Q2584116,Metroplex,http://www.wikidata.org/entity/Q2407494,Transformers: The Headmasters
http://www.wikidata.org/entity/Q2593742,Technobots,http://www.wikidata.org/entity/Q602883,The Transformers
http://www.wikidata.org/entity/Q2593742,Technobots,http://www.wikidata.org/entity/Q1323565,Transformers
http://www.wikidata.org/entity/Q2593742,Technobots,http://www.wikidata.org/entity/Q2407494,Transformers: The Headmasters
http://www.wikidata.org/entity/Q60062,Rostam,http://www.wikidata.org/entity/Q8279,Shahnameh
http://www.wikidata.org/entity/Q500435,Eddie Munster,http://www.wikidata.org/entity/Q1086390,The Munsters
http://www.wikidata.org/entity/Q669485,Sweeney Todd,http://www.wikidata.org/entity/Q7767037,The String of Pearls
http://www.wikidata.org/entity/Q778400,Arya,http://www.wikidata.org/entity/Q2699024,Inheritance Cycle tetralogy
http://www.wikidata.org/entity/Q1274151,Frank Bryce,http://www.wikidata.org/entity/Q8337,Harry Potter
http://www.wikidata.org/entity/Q1686620,Eumelus,http://www.wikidata.org/entity/Q8275,Iliad
http://www.wikidata.org/entity/Q1963397,Petunia Dursley,http://www.wikidata.org/entity/Q8337,Harry Potter
http://www.wikidata.org/entity/Q1971483,Piers Polkiss,http://www.wikidata.org/entity/Q8337,Harry Potter
http://www.wikidata.org/entity/Q2009573,James Bond,http://www.wikidata.org/entity/Q4941,Skyfall
http://www.wikidata.org/entity/Q2009573,James Bond,http://www.wikidata.org/entity/Q19089,GoldenEye
http://www.wikidata.org/entity/Q2009573,James Bond,http://www.wikidata.org/entity/Q27204,Live and Let Die
http://www.wikidata.org/entity/Q2009573,James Bond,http://www.wikidata.org/entity/Q30931,Die Another Day
http://www.wikidata.org/entity/Q2009573,James Bond,http://www.wikidata.org/entity/Q102754,Dr. No
http://www.wikidata.org/entity/Q2009573,James Bond,http://www.wikidata.org/entity/Q106571,From Russia with Love
http://www.wikidata.org/entity/Q2009573,James Bond,http://www.wikidata.org/entity/Q107724,Thunderball
http://www.wikidata.org/entity/Q2009573,James Bond,http://www.wikidata.org/entity/Q107761,You Only Live Twice
http://www.wikidata.org/entity/Q2009573,James Bond,http://www.wikidata.org/entity/Q107894,On Her Majesty's Secret Service
http://www.wikidata.org/entity/Q2009573,James Bond,http://www.wikidata.org/entity/Q107914,Diamonds Are Forever
http://www.wikidata.org/entity/Q2009573,James Bond,http://www.wikidata.org/entity/Q151904,Casino Royale
http://www.wikidata.org/entity/Q2009573,James Bond,http://www.wikidata.org/entity/Q180279,Never Say Never Again
http://www.wikidata.org/entity/Q2009573,James Bond,http://www.wikidata.org/entity/Q181540,Quantum of Solace
http://www.wikidata.org/entity/Q2009573,James Bond,http://www.wikidata.org/entity/Q204398,Octopussy
http://www.wikidata.org/entity/Q2009573,James Bond,http://www.wikidata.org/entity/Q207916,Tomorrow Never Dies
http://www.wikidata.org/entity/Q2009573,James Bond,http://www.wikidata.org/entity/Q212145,The World Is Not Enough
http://www.wikidata.org/entity/Q2009573,James Bond,http://www.wikidata.org/entity/Q272064,The Living Daylights
